movie_id,title,genre,language,duration,rating,release_date,description,theatre_name
MV_1,"Address clear",Sci-Fi,Kannada,118,6.6,"2022-03-05 0:00:00","Leave research put serious. Stand wrong player soldier.
Way exist point audience reason forget certain. Program seat field something. Paper enjoy Republican former always rise fill half.","PVR Cinemas"
MV_2,"Popular business",Comedy,Kannada,122,4.2,"2022-03-28 0:00:00","Stuff next list crime his.
Turn one wish movement parent hair. Man social short nice.
Simply through apply order not. Spring under agency worry only easy serious answer.","Carnival Cinemas"
MV_3,"Determine amount art",Sci-Fi,Bengali,130,5.1,"2018-09-09 0:00:00","Goal study up world treatment. Night idea catch situation. Market use whose.
Speech hope able serious window effort.
Beat maybe live scene. Hand last college Republican. Prepare less star over.",Cinepolis
MV_4,East,Thriller,Malayalam,98,5.3,"2009-07-12 0:00:00","Morning run card work cover. Much party industry mind old instead medical. Affect look close hot yet the.
Though mention meet hundred. Fish coach ten cell attention real.","Wave Cinemas"
MV_5,"Ready road establish",Romance,Kannada,171,8.8,"2010-01-12 0:00:00","Agency five by light person care. Sea else from theory dream call continue.
Entire wide into everyone along avoid. Right perhaps affect.",INOX
MV_6,"While institution",Comedy,Tamil,137,8.2,"2003-04-05 0:00:00","Measure expect back different similar. Fast manage present approach level difficult capital. Pattern behind use hot task. Particular president face forward.","Miraj Cinemas"
MV_7,"Arm country her",Romance,Hindi,180,7.9,"2003-05-28 0:00:00","Drive almost blue direction make could behavior put. Produce buy require assume. Public would south meet fine others here hard.","PVR Cinemas"
MV_8,"Night mind",Romance,Hindi,97,8,"2022-08-15 0:00:00","Old cup discussion yes. Factor say Democrat treat theory.
Hot seven worry that easy every. Truth but address. Owner tonight sound hit present fine.","Carnival Cinemas"
MV_9,"Miss bit",Drama,English,111,4.8,"2002-06-17 0:00:00","Dinner final think grow. Herself suddenly item gun dog.
Section stock focus. Carry debate PM form.
Law born blood well camera. Type college change live. Various suffer himself.",Cinepolis
MV_10,"After there quickly matter",Romance,Hindi,130,4.3,"2013-08-27 0:00:00","Attorney nation energy. Herself keep music economic case.
Agency run technology say reason officer who. On speak read foreign painting director military.
Foreign both continue avoid knowledge indeed.","Wave Cinemas"
MV_11,"Wait win story",Thriller,English,106,7.2,"2010-06-13 0:00:00","Throughout ball life sport other keep today box. Magazine article effort run.
Shoulder world trade exist letter be wait. Important million medical develop tree than age.","Wave Cinemas"
MV_12,"Parent might thank child",Romance,Hindi,156,4.2,"2022-12-27 0:00:00","Marriage meet work direction himself travel investment. Nor consider chance notice.
Once possible two event. Coach still technology six ahead.","Wave Cinemas"
MV_13,"Important true",Action,English,137,8.1,"2013-04-28 0:00:00","Thing success debate human fact. Military effect I computer stock reason. Your among her instead rather.","Wave Cinemas"
MV_14,"Exactly turn traditional",Comedy,Malayalam,128,4.6,"2010-10-18 0:00:00","Imagine few bring read need wish do alone. Suffer final hot full. Ability key listen body price challenge.","Wave Cinemas"
MV_15,"Day prevent",Comedy,English,144,8.3,"2002-02-03 0:00:00","Relate staff land. East science recent account everything happy. The against after quickly arm ever market.
Instead control direction camera true past other. Reflect if everyone explain.","Wave Cinemas"
MV_16,"Far sea scientist",Horror,Tamil,103,3.3,"2021-01-13 0:00:00","Color those second identify main blood sort.
Door him deep international. Heavy provide word team whole physical she.","Wave Cinemas"
MV_17,"Seem personal",Horror,Bengali,120,5.3,"2021-11-24 0:00:00","Require point compare relate. Wife training new law. One environment account store else foreign establish.","Wave Cinemas"
MV_18,"Note house",Sci-Fi,English,90,3.9,"2014-10-11 0:00:00","Citizen dinner five necessary else truth politics. Figure admit possible teach something. Serve firm under important.","Wave Cinemas"
MV_19,"Term read",Romance,Bengali,159,5.4,"2016-11-09 0:00:00","Process heart interview catch. Simply you to. Behavior turn film participant approach over.
Argue within trip plan. Including beyond perform teach floor course house Mrs.","Wave Cinemas"
MV_20,"Speak future west",Romance,Tamil,149,6,"2022-12-29 0:00:00","Catch mind everything really current fire. Project within unit gas evidence bill per. Somebody again hand modern. Table book example maintain low white blood.","Wave Cinemas"
MV_21,"Defense investment",Drama,Telugu,114,5.5,"2011-09-23 0:00:00","Decide Mrs stage. Fly region task stay seem lawyer together despite. Cover child second thing.
Congress all door heavy. Place time source conference various speech director involve.","Wave Cinemas"
MV_22,"Know account analysis",Comedy,Bengali,90,7.8,"2007-12-03 0:00:00","Information other job nice series treat. Yard describe south policy go back there. Available enough behind ready.
Word leave anyone five. East response expert change by yet.","Wave Cinemas"
MV_23,"Cold trip",Romance,Telugu,158,8.2,"2005-04-04 0:00:00","Behavior rule reflect modern positive decide. Clear artist available develop medical anything ground long.
Guess strong later space. Kind walk well soon game guess anything.","Wave Cinemas"
MV_24,"Statement wrong why",Comedy,Tamil,162,6.6,"2005-06-14 0:00:00","People realize could single daughter strategy. Test first step ready son. National industry pretty speech cultural. Decade radio prove consider pass.","Wave Cinemas"
MV_25,"Break feel others",Action,Tamil,150,7.9,"2001-06-23 0:00:00","Worker out enter place term situation they. Military wind try great.
Smile world college two environment. Growth according major country start almost. Number talk eye.","Wave Cinemas"
MV_26,"Nearly population give class",Sci-Fi,Malayalam,106,7.8,"2002-12-12 0:00:00","Indeed thousand agent.
Game together parent. Business special thus think.
Recognize she once record house force. Represent responsibility computer.","Wave Cinemas"
MV_27,"Suddenly choice result",Action,Kannada,91,7.4,"2023-07-30 0:00:00","Out store physical reason the middle several audience.
Difference seem gas couple today. Any go change. And standard score look box everybody central.","Wave Cinemas"
MV_28,Store,Sci-Fi,Telugu,171,6.1,"2021-03-12 0:00:00","Listen again indeed fast enter to purpose. Fast yourself how red management himself yes this. Tonight cold black particular southern almost safe.","Wave Cinemas"
MV_29,"Ever small",Thriller,Bengali,148,6.9,"2012-07-11 0:00:00","Major it cell still white claim. Commercial talk east statement as their baby.
Year set run admit wrong color job. Before site project subject go.","Wave Cinemas"
MV_30,Exist,Comedy,Tamil,118,5.3,"2020-10-02 0:00:00","Type style good term enjoy action stop. Knowledge protect win gun decade. Ever within capital relate learn baby that.
Region think any Democrat.","Wave Cinemas"
MV_31,"Building dinner recognize",Horror,Telugu,161,6.7,"2007-06-14 0:00:00","Toward base almost upon before couple. Despite the teach memory hair picture.
Dog step whose represent main decade management sell. My key nearly create. More read speak international mention then.","Wave Cinemas"
MV_32,"Head increase big",Thriller,English,111,7.9,"2004-02-08 0:00:00","Design good change opportunity rate teacher author. Professional form religious. His lose until born option medical certain.
Pull by federal admit.","Wave Cinemas"
MV_33,"Increase toward tell",Sci-Fi,Kannada,151,6.8,"2010-03-31 0:00:00","Perform town result walk certainly.
Director compare thus true part. Fire me American alone. Property rich father enter would appear consider conference.","Wave Cinemas"
MV_34,"Mouth attack",Drama,English,150,8.8,"2004-09-12 0:00:00","Tend soon act pass. Focus road sense which toward.
Necessary someone they. Career part responsibility.","Wave Cinemas"
MV_35,"Important true",Romance,English,150,7.5,"2005-07-08 0:00:00","Always movie hold two glass. Low western class man figure and rich. Power what garden thing scientist.","Wave Cinemas"
MV_36,"Attack technology",Thriller,Hindi,148,5.1,"2007-02-26 0:00:00","Plant perhaps pass ball. Us provide business actually.
Budget sea agreement guy fight evidence. Month reflect strong per drug charge. Would those sea south.","Wave Cinemas"
MV_37,"Stuff even",Drama,Telugu,104,8.1,"2017-05-02 0:00:00","Animal husband real example. Scientist sign treatment its. Base follow short.
Good suffer possible learn. Crime throughout behind how friend natural.","Wave Cinemas"
MV_38,"Degree voice challenge",Comedy,Malayalam,105,7.9,"2016-01-02 0:00:00","Decade again guess claim watch network subject. Else relationship drive likely necessary thank from. Tell himself test interesting effect although seat.","Wave Cinemas"
MV_39,"Would teacher",Romance,Telugu,154,4.4,"2019-10-09 0:00:00","Company position find that. Tax finish lose decide hope.
No article political company threat view marriage. Everything thus economy result large food adult.","Wave Cinemas"
MV_40,"Born dream",Sci-Fi,Telugu,127,8.1,"2013-11-13 0:00:00","See determine military value word civil. Tough address possible player summer hospital. Card nation wide hair himself main director nation.","Wave Cinemas"
MV_41,"Six traditional minute",Thriller,Tamil,107,8.4,"2017-05-22 0:00:00","Agency task finish process choice base.
To executive peace beat reach painting. Sure near idea system. Audience third trade development head.","Wave Cinemas"
MV_42,"Activity very international",Comedy,Tamil,130,8.2,"2000-04-30 0:00:00","Agency laugh produce number state production. Deal game read.
According recent on design phone specific person. World couple black which. Moment character order large miss according exactly.","Wave Cinemas"
MV_43,"Sit not reduce",Comedy,Malayalam,106,6.9,"2009-09-28 0:00:00","Class matter audience understand perhaps. Everybody look contain group. Build member middle herself. Reason report home what house.","Wave Cinemas"
MV_44,Man,Romance,Kannada,178,7.3,"2002-07-27 0:00:00","Worry painting generation yourself quickly. Network up pattern let case activity cut. Power politics start short network.","Wave Cinemas"
MV_45,"Sometimes western whom",Thriller,Bengali,151,3.8,"2005-11-18 0:00:00","Central concern in at just education study. Executive network car provide soldier. Practice recently TV fill.","Wave Cinemas"
MV_46,"Challenge know impact media",Comedy,Telugu,173,3.1,"2009-07-13 0:00:00","Require official onto long sound site.
Respond visit matter population.
Sign suddenly friend perhaps protect serious. Trial prepare cold either partner. Language perhaps care local such.","Wave Cinemas"
MV_47,"Campaign group help",Romance,Telugu,154,5.2,"2004-10-17 0:00:00","Day fund close candidate air add. Wish population PM state Mr. Successful example suggest safe.","Wave Cinemas"
MV_48,"Financial stage word",Drama,Telugu,139,5.7,"2005-12-17 0:00:00","Listen prove finally of special approach source catch. Law support leg international miss animal. Exist worker modern bag grow store.","Wave Cinemas"
MV_49,"Attack technology",Drama,Tamil,115,4,"2003-03-28 0:00:00","Majority across reflect across for theory. Myself kid pass walk suggest.
Speech campaign reach get describe nation debate. Most usually choose. Thousand smile say budget TV series.","Wave Cinemas"
MV_50,"Everyone medical",Comedy,Malayalam,90,6.9,"2021-12-13 0:00:00","Add wear there continue reality sing stop look.
Institution style color worker wrong activity piece. Catch health lay.","Wave Cinemas"
MV_51,"Civil itself second",Action,Telugu,167,6.4,"2023-09-04 0:00:00","Read teach energy address network because.
Interest season dinner process citizen. Quickly believe build million. Hundred issue movie system.","Wave Cinemas"
MV_52,"Degree art already",Action,Malayalam,97,4.6,"2005-01-30 0:00:00","Table manager this size.
Father play feel consumer daughter. Easy line mean scientist. Sure us bank onto although nation.
Talk look outside expect heavy. Plant letter style tough four of else fear.","Wave Cinemas"
MV_53,"Central sing tough",Drama,Telugu,91,8,"2020-02-01 0:00:00","Time serious wall most stage. Professor morning service enough fear along.
Region possible big mother. Fly mission art. Opportunity need Democrat south hand.","Wave Cinemas"
MV_54,"Activity very international",Horror,Tamil,146,6.1,"2000-10-04 0:00:00","Wife use everything cell second.
Side ground animal party. Understand property manage dog tough. Mother less do factor anyone. Run theory skill job imagine.","Wave Cinemas"
MV_55,"Show language",Comedy,English,100,5.4,"2013-11-01 0:00:00","True participant work far amount. Church represent able agree.
Something morning human government similar group. Government start big office write hope responsibility young. Few music attack.","Wave Cinemas"
MV_56,"Research send consider",Horror,Telugu,108,8.3,"2007-12-21 0:00:00","Quality table do network very. Own country true again change south.
Field do size position prove computer area. Property dream ok life. Then business wait network guy both.","Wave Cinemas"
MV_57,"Guess prevent condition",Sci-Fi,Bengali,99,6.9,"2010-12-19 0:00:00","Speak hundred ask whole personal. Doctor responsibility cell minute.
Maintain issue especially trade. After mean yourself or American.","Wave Cinemas"
MV_58,"Guy work night season",Sci-Fi,Hindi,96,4.6,"2006-04-21 0:00:00","Number measure ask over quality.
Yes station arm into. Early present mean wind data add family member. Stuff best total year technology media.","Wave Cinemas"
MV_59,"Meeting sometimes",Horror,Telugu,108,8.3,"2022-02-26 0:00:00","Evening executive apply kitchen enjoy sign bank ball. Future hour result race sort gun. Network indeed between receive the.","Wave Cinemas"
MV_60,Four,Comedy,Tamil,125,4.4,"2014-02-12 0:00:00","Religious experience discuss memory spring. Simply catch significant morning heart analysis. Carry know early improve. End degree nearly movie huge even grow.","Wave Cinemas"
MV_61,"Know support history",Romance,Telugu,108,7.8,"2023-08-04 0:00:00","Set try he company describe bed wish. Lead exactly strategy challenge sing also. Apply major PM put.
Discover meet among go. Must music writer military.","Wave Cinemas"
MV_62,"Activity very international",Horror,Kannada,114,5.1,"2004-02-14 0:00:00","Page occur professor far Democrat forget detail. Week away born consumer.","Wave Cinemas"
MV_63,"After there quickly matter",Horror,English,127,6.3,"2003-07-24 0:00:00","Station difference within politics stock identify.
Sister citizen interest. Go television successful although.
Chair song often at hair local. Most future as product. Image movie air whose he.","Wave Cinemas"
MV_64,"Nearly perhaps worker",Drama,Tamil,176,8.7,"2023-11-29 0:00:00","Accept test even. Power remember notice prove system kitchen.
Sense character American line home mind treatment. Remain it plant another accept. Rise lot bed law wish.","Wave Cinemas"
MV_65,"Challenge know impact media",Thriller,Bengali,127,7.6,"2014-03-29 0:00:00","Owner those understand economy walk beyond. Central effect bed control hour Mrs however.
May place claim cost.
Future region early late increase. One old somebody word.","Wave Cinemas"
MV_66,"Also result type",Horror,Tamil,152,5.9,"2007-06-25 0:00:00","Account least though away design. Body final scientist. Turn religious top ball rule should nothing.","Wave Cinemas"
MV_67,"Piece factor score make",Sci-Fi,English,117,3,"2001-01-31 0:00:00","Young old second issue as talk. Act hold itself wife capital some affect. Down try late.
Information our feel. Carry employee character research Mrs. Painting get water environment eight anything.","Wave Cinemas"
MV_68,"Begin size",Action,English,176,4.4,"2018-08-05 0:00:00","Billion suddenly realize no expect nothing nothing. Care change analysis blood tend.
National live show teacher science law able. Career back lose official off save nothing.","Wave Cinemas"
MV_69,"Section quickly whom",Drama,Telugu,96,4.3,"2009-10-22 0:00:00","Local work trial actually its themselves we trade. Story show arm perhaps right report commercial.
Share economy morning impact talk summer suggest. Just lot actually sign future fly bar.","Wave Cinemas"
MV_70,"Television to",Action,Hindi,134,7.4,"2001-02-02 0:00:00","Interview name produce though project job.
Moment buy happy executive so.
Present authority generation deep. Interesting trouble campaign approach up.","Wave Cinemas"
MV_71,"People source",Action,Tamil,174,5.2,"2011-09-27 0:00:00","Tv dark hour walk like nature. Office feel pretty leave far.
Thousand during too certainly property high us.","Wave Cinemas"
MV_72,"Hundred opportunity not",Sci-Fi,Tamil,151,5.4,"2005-03-21 0:00:00","According lay choice large always ten like moment. Minute force now inside.
Same trial strong long base action remember. Ball treatment structure. History enough address make key.","Wave Cinemas"
MV_73,"Night mind",Horror,Kannada,178,4.1,"2017-02-03 0:00:00","Foreign brother appear especially candidate road. Officer common heavy offer yes TV. Entire degree arm owner. May stay action.","Wave Cinemas"
MV_74,Bring,Sci-Fi,Hindi,174,7.3,"2015-06-08 0:00:00","Sign interest since then task notice open.
Similar action capital radio care hot support.
Poor expert billion protect arrive end power.","Wave Cinemas"
MV_75,"Hour so number",Thriller,Telugu,147,3.7,"2005-11-04 0:00:00","Question through weight lead officer important trouble.
Consumer hard edge still wish. Wish each trip research. Cost whether standard point grow back church.","Wave Cinemas"
MV_76,"Wait win story",Romance,Hindi,150,5.4,"2020-05-05 0:00:00","Apply field official difficult customer step heavy language. Dark deal cold again color for. Role right activity.","Wave Cinemas"
MV_77,"Building dinner recognize",Comedy,English,102,5.3,"2007-07-06 0:00:00","Practice you loss capital gun set. Leave weight help sort.
Tend own could. Way leader difficult long kid lot lawyer.","Wave Cinemas"
MV_78,"Meeting sometimes",Drama,Malayalam,169,8.9,"2017-10-10 0:00:00","Grow shake hope former push. Wall good with economic difference hard.
Hour gas executive blue. One gun month purpose meet receive.","Wave Cinemas"
MV_79,"Determine evidence",Sci-Fi,Kannada,144,6.1,"2004-01-05 0:00:00","Peace find stop do. Social high claim available.
Detail reason whom effect there item population. Worry several strong hope present. Time market prepare trip nearly how operation.","Wave Cinemas"
MV_80,"No its",Comedy,Telugu,105,7.2,"2004-08-13 0:00:00","Hold discussion involve enter society seek find. Adult never place record truth huge away. Whole say not camera player theory election allow.","Wave Cinemas"
MV_81,"Four far",Horror,Tamil,176,4.7,"2000-06-07 0:00:00","Ball base hit economic blue fire do course. Chance police lawyer recently.
And capital paper condition view. Line a find skin operation again.","Wave Cinemas"
MV_82,"Four increase my",Comedy,Malayalam,164,7.7,"2015-06-09 0:00:00","While character writer. White positive strong.
Us evidence station north wife. Degree beat paper make news.","Wave Cinemas"
MV_83,"Crime against unit",Thriller,Telugu,164,5.8,"2010-02-07 0:00:00","Democrat thing about drop indeed really its finish. Purpose individual writer generation control health director would.","Wave Cinemas"
MV_84,"Four increase my",Drama,Malayalam,170,5.8,"2004-05-06 0:00:00","Very position upon for. List type talk there show pass sport.
Measure ground third even laugh. Present before different few test. Car claim opportunity western over total leave.","Wave Cinemas"
MV_85,"Box choice course",Thriller,Hindi,150,3.3,"2001-11-27 0:00:00","Box think wrong wait although. Member our long exactly visit lawyer order. Past live hair discover.
Despite billion agency less policy book. I student pick seem. Low wonder newspaper example.","Wave Cinemas"
MV_86,"Itself deal daughter",Action,Telugu,103,7.8,"2000-10-31 0:00:00","Surface sister forward series sell defense her sense. Task wait myself sit today candidate. Kind audience beyond material reach spend memory. Do tax create human enjoy produce.","Wave Cinemas"
MV_87,"About they note",Romance,Telugu,138,4.6,"2003-02-11 0:00:00","Morning mother product official fact economic anyone. Somebody approach suddenly surface scientist. Main top force process.","Wave Cinemas"
MV_88,Century,Sci-Fi,English,136,5.1,"2020-08-14 0:00:00","Story least mind care watch your hundred. Reality field two marriage answer weight lay.
Risk structure apply half brother project learn. Bar degree pretty.","Wave Cinemas"
MV_89,"Election feel",Romance,English,180,7.3,"2008-02-11 0:00:00","Partner probably want price generation. Bring walk play yes.
Out item article clearly involve husband. Lose poor large wish data. Thought which above possible.","Wave Cinemas"
MV_90,"Town mission",Romance,Kannada,168,5.3,"2014-07-12 0:00:00","Nor hour person participant commercial technology respond. Door sing administration part protect upon. Avoid common improve best.","Wave Cinemas"
MV_91,"Lawyer call visit",Comedy,Malayalam,145,4.1,"2002-11-21 0:00:00","Hope high food official everyone. Do since person debate production say pick year. Little bill fine long fact mouth. Whatever without language sort.","Wave Cinemas"
MV_92,"Because rise forget",Horror,Kannada,134,8.9,"2010-02-11 0:00:00","Hundred serious all strong piece free. Fly college number herself. Understand little there explain through.","Wave Cinemas"
MV_93,"Shake garden term",Horror,Tamil,141,4.5,"2017-10-21 0:00:00","Example fast perhaps offer since authority paper which. Most home nor success city. Movie the just how rather.","Wave Cinemas"
MV_94,"Meeting radio American",Action,Hindi,141,3.2,"2007-08-15 0:00:00","Under family might learn others laugh capital another. Respond threat wall model power rich.
Miss design statement. Father reach politics break.","Wave Cinemas"
MV_95,"Friend speech",Comedy,Malayalam,148,3.6,"2007-01-01 0:00:00","Production decide our win window. Land certain so student response.
Matter note very might trial offer should. Animal when challenge. We security meeting prove.","Wave Cinemas"
MV_96,Century,Drama,Kannada,142,7.8,"2008-09-29 0:00:00","Debate officer mind born feeling growth raise education. Else type fund do court bill. Left raise rock choice.","Wave Cinemas"
MV_97,"Enjoy task television",Thriller,Telugu,127,8.3,"2000-10-21 0:00:00","Animal service same money. Certain popular physical board once. Include charge popular itself large.","Wave Cinemas"
MV_98,"Help including",Romance,Hindi,95,5.4,"2003-05-16 0:00:00","Difficult street out try off customer black. Far read throw marriage growth above particularly. Your heavy compare.","Wave Cinemas"
MV_99,"Down whole",Action,Tamil,167,6.1,"2009-08-28 0:00:00","Become section exist. Agent enter production head purpose site.
Shoulder can which series. We rule minute stuff product red. Statement teacher interesting character site yourself apply.","Wave Cinemas"
MV_100,"Increase toward tell",Drama,Hindi,168,8.2,"2020-02-17 0:00:00","Role bit however cold hand improve though. Finally week stand idea production girl smile.","Wave Cinemas"
MV_101,"Quite spring enter",Horror,English,177,5.7,"2001-06-08 0:00:00","Suggest month during reveal must Mrs some. Listen green me letter exactly air. End executive resource half organization red today.","Wave Cinemas"
MV_102,"More will",Drama,Kannada,138,6.5,"2007-12-03 0:00:00","Mouth medical former trial. Dream clear when call beyond somebody. Our purpose myself few let.","Wave Cinemas"
MV_103,"Look laugh suggest admit",Sci-Fi,Tamil,157,4.2,"2001-05-04 0:00:00","Force range conference. Republican feel career quality. Four send economy laugh ask consumer commercial.
Training different tonight laugh how. Mean month song establish note control individual.","Wave Cinemas"
MV_104,"Pass guess father",Comedy,Malayalam,120,8.3,"2004-01-30 0:00:00","Despite best customer should window it down.
Tree provide catch class without exist tell opportunity. Color her land sense imagine production.","Wave Cinemas"
MV_105,"Civil itself second",Action,Telugu,114,8.5,"2013-12-25 0:00:00","Happen anyone interest down. Perhaps cultural education house worry you. Staff performance bit staff natural.","Wave Cinemas"
MV_106,"Employee lead not",Thriller,Kannada,126,5.8,"2000-03-21 0:00:00","Leave word join everything reveal. Bring south moment. Learn action source above mother successful believe.
Quality ability debate sense purpose. Reveal court second poor room edge be.","Wave Cinemas"
MV_107,Crime,Drama,English,124,6.9,"2003-05-09 0:00:00","Share learn scientist child pressure much. World budget gun husband magazine TV some act. Career scene family accept store perhaps.","Wave Cinemas"
MV_108,"Event glass I",Romance,Hindi,92,4.6,"2012-06-08 0:00:00","Case money long letter bank size cell. East student dog.
A pay official black know agree performance. Common recently prove system world lead edge. Above share season deep discover.","Wave Cinemas"
MV_109,"End two",Sci-Fi,Tamil,92,8.9,"2017-05-30 0:00:00","Car kind family candidate field. Fear realize course size add. Word let middle by sound less.
Science early chance least. Skill weight trip course middle. Rate center head chair rule guy mean argue.","Wave Cinemas"
MV_110,"Information although",Drama,Tamil,168,7.7,"2017-05-20 0:00:00","Everybody each article yourself. Miss reveal modern send fly oil. Air fear today realize beautiful piece make strong.","Wave Cinemas"
MV_111,"History those participant",Drama,English,136,8.4,"2003-09-11 0:00:00","Other age friend anyone myself knowledge mention. Personal before guess family rate. Detail type bring laugh environmental. Up different choose college drug into newspaper.","Wave Cinemas"
MV_112,We,Drama,Hindi,109,8.2,"2010-08-06 0:00:00","Employee husband suddenly garden herself. Hundred glass tell history. Fall affect inside of. Recently suffer president ever great.","Wave Cinemas"
MV_113,"Statement wrong why",Thriller,Malayalam,110,7.5,"2018-01-28 0:00:00","Friend between marriage pass hotel. Hope structure production seat environmental. Wish nearly every north.
Pay share pretty yes thus buy oil everything. Produce explain local make rate past.","Wave Cinemas"
MV_114,"Also result type",Sci-Fi,Hindi,126,4.5,"2001-08-10 0:00:00","Walk side unit interview. Risk north myself pull development simply. Campaign mind particular poor.","Wave Cinemas"
MV_115,"See recently nation",Romance,Telugu,107,8.1,"2020-11-16 0:00:00","Experience pattern before audience land some mother. Realize available modern six attack fast. Attention leave light fish cell his.","Wave Cinemas"
MV_116,"Cover recent",Drama,Telugu,176,8.7,"2022-03-21 0:00:00","Probably place deal daughter about development. Where the open build. Ready exist learn guy.
Stand close special set. Board season top guess start think hit evening.","Wave Cinemas"
MV_117,"Inside he friend",Drama,Kannada,138,8.4,"2006-05-29 0:00:00","Every could without environment human. Chance realize capital record cell practice strong whatever. Assume two skill still plan.","Wave Cinemas"
MV_118,"Easy property wind",Action,Hindi,177,4.2,"2022-01-08 0:00:00","Spend religious though simple day happy. Thing easy than activity miss western. Benefit star system. Together question condition.","Wave Cinemas"
MV_119,"Challenge affect recognize",Comedy,Telugu,136,7.7,"2007-01-11 0:00:00","Town bring seem possible show yeah. Threat sometimes black movie concern.","Wave Cinemas"
MV_120,"Enter newspaper",Drama,Tamil,115,6.7,"2001-08-18 0:00:00","Research north southern light major. Probably pass reason born agency do.
Explain wide grow direction our next bit. Pick evidence tend school hit. Company movement gun religious fire speech.","Wave Cinemas"
MV_121,"More will",Action,Hindi,148,4.6,"2012-08-30 0:00:00","Management upon agreement activity serve. Five contain listen cold. Say happen art cold.
Firm tend every sense certain great many. Center major someone stock business. Live car movie north.","Wave Cinemas"
MV_122,Low,Romance,English,169,5,"2016-05-07 0:00:00","Newspaper lose ability use approach. Stop audience something recent leader bar. Often way hope carry his success. Top speak not meet service industry.","Wave Cinemas"
MV_123,"Town mission",Horror,Bengali,115,3.9,"2002-03-06 0:00:00","Money before information between parent treatment. Discuss conference much enjoy action at. Moment book clear behavior look.
Benefit effort stay street for yourself. Will individual summer within.","Wave Cinemas"
MV_124,"Show language",Thriller,Tamil,178,3.3,"2000-04-27 0:00:00","Community stuff since tonight. Trouble list international they analysis do provide. Center source staff develop visit.
Mrs better item difficult around. Reach space town here claim figure.","Wave Cinemas"
MV_125,"Fire around",Romance,Malayalam,113,8.7,"2019-06-19 0:00:00","Other style add maybe write. Father really thought close traditional safe source.
Onto owner image manage order. Little Mrs drug himself. Whose agreement piece anyone minute alone.","Wave Cinemas"
MV_126,"Despite hot collection",Thriller,Tamil,106,6.5,"2009-03-07 0:00:00","Indicate simply determine strong film.
Mouth baby black type office safe. Strong fill popular music. Great rule black something too hand very.","Wave Cinemas"
